Library Code,AREA,Subject ,Title,Author,Publication
ITR-OOSE-012,,,SOFTWARE ENGINEERING,SANGEETA SABHARWAL,NEW AGE
ITR-OOSE-013,,, Object Oriented Software Engineering ,"TIMOTHY LETHBRIDGE, ROBERT LAGANIERE",TATA MCGRAW HILL
ITR-OOSE-014,,,"SOFTWARE TESTING PRINCIPAL, TECHNIQUES AND TOOLS",LIMAYE,TATA MCGRAW HILL
ITR-OOSE-015,,,EFFECTIVE METHODS FOR SOFTWARE TESTING,PERRY,WILEY 
AL-DSF-001,Algorithm,Data Structures & Files,TEXTBOOK OF DATA STRUCTURE,SUNITA S. BARVES,VIPUL
AL-DSF-002,,,DATA STRUCTURE AND ALGORITHUM IN JAVA,MICHAEL T. GOODRICH,WAILY
AL-DSF-003,,,DATA STRUCTURE ,GIRISH POTDAR,TECHMAX
AL-DSF-004,,,DATA STRUCTURE USING C,RAJNI JINDAL,UP
AL-DSF-005,,,DATA STRUCTURE USING C,RAJNI JINDAL,UP
AL-DSF-006,,,DATA STRUCTURE AND FILES,A. A. PUNTAMBEKAR,TECHNICAL PUB
AL-DSF-007,,,DATA STRUCTURES WITH JAVA,JOHN R HUBBARD,MC GRAW HILL
AL-DSF-008,,,DATA STRUCTURES WITH JAVA,JOHN R HUBBARD,PEARSON
HD-DLDA-001,Hardware & Device, Digital Logic Design & Applications,DIGITAL LOGIC DESIGN AND ANALYSIS,"NANDINI K . JOG, HARISH G. NARULA",NANDU
HD-DLDA-002,,,DIGITAL LOGIC APPLICATIONS AND DESIGN,"JOHN M,YARBROUGH",VIPUL
HD-DLDA-003,,,DIGITAL LOGIC DESIGN AND APPLICATION,SUJATA KULKARNI,IE-CENGAGE
HD-DLDA-004,,,DIGITAL TECHNOLOGY- PRINCIPAL AND PRACTICE,VIRENDRA KUMAR,NEW AGE
HD-DLDA-005,,,DIGITAL PRINCIPAN AND LOGIC DESIGN TECHNIQUES,"ARIJIT SAHA
NILOTPAL MANNA",LAXMI PUBLICATION
HD-DLDA-006,,,MODERN DIGITAL ELECTRONICS 4TH EDITION,R. P. JAIN,MC GRAW HILL
HD-DLDA-007,,,MODERN DIGITAL ELECTRONICS 3RD EDITION,R. P. JAIN,MC GRAW HILL
HD-DLDA-008,,,SWITCHING THEORY AND LOGIC DESIGN,M. V. SUBRAMANYAM,LAXMI PUBLICATION
HD-DLDA-009,,,MODERN DIGITAL ELECTRONICS 2ND EDITION,R. P. JAIN,MC GRAW HILL
OST-OS-001,OS,Operating Systems,OPERATING SYSTEM 2,"SIBSANKAR HALDAR,ALEX A .ARAVIND",PEARSON
OST-OS-002,,,OPERATING SYSTEM 3,FLYNN,IE-COURSE TECH
OST-OS-003,,,UNDERSTANDING OPERATING SYSTEMS ,"IDA M.FLYNN,ANN M M",THOMSON
OST-OS-004,,,UNDERSTANDING OPERATING SYSTEMS ,"IDA M.FLYNN,ANN M M",THOMSON
OST-OS-005,,,UNDERSTANDING OPERATING SYSTEMS ,"IDA M.FLYNN,ANN M M",THOMSON
